,СОШ,Наличие
586,МБОУ Дибгаликская СОШ имени Нурбагандова М.Н.,YES
587,МБОУ Дибгашинская СОШ,
588,МБОУ Дирбагская ООШ,YES
589,МБОУ Дуакарская СОШ,
590,МБОУ Зильбачинская СОШ,YES
591,МБОУ Зубанчинская СОШ,
592,МБОУ Иван-кутанская ООШ,YES
593,МБОУ Ирагинская СОШ,
594,МБОУ Иракинская ООШ,YES
595,МБОУ Калкнинская СОШ,
596,МБОУ Карбачимахинская СОШ,YES
597,МБОУ Кищинская МПГ,
598,МБОУ Кищинская СОШ,
599,МБОУ Кубачинская НОШ-ДС,
600,МБОУ Кубачинская СОШ,YES
601,МБОУ Кудагинская СОШ,YES
602,МБОУ Кункинская СОШ,YES
603,МБОУ Куркинская ООШ,YES
604,МБОУ Меусишинская начальная школа-детский сад,
605,МБОУ Меусишинская СОШ им. Абдурахманова Ш.Р,YES
606,МБОУ Мирзидтынская ООШ,YES
607,МБОУ Морская СОШ,YES
608,МБОУ Новоуркарахская СОШ,YES
609,МБОУ РТС-аульская ООШ,YES
610,МБОУ Сутбукская СОШ,YES
611,МБОУ Трисанчинская СОШ,
612,МБОУ Урагинская СОШ,YES
613,МБОУ Ураринская СОШ,
614,МБОУ Уркарахская МГ им.А.Абубакара,YES
615,МБОУ Уркарахская НШ-детский сад имени Рамазанова Р.С.,
616,МБОУ Уркарахский МПЛ им. Алисултанова М.Г.,
617,МБОУ Урхнищинская СОШ,
618,МБОУ Урцакинская ООШ,YES
619,МБОУ Харбукская СОШ,YES
620,МБОУ Худуцкая ООШ,
621,МБОУ Хуршнинская СОШ,YES
622,МБОУ Цизгаринская ООШ,YES
623,МБОУ Цураинская ООШ,YES
624,МБОУ Чишилинская СОШ им. Амирарсланова Д.М.,YES
625,МБОУ Шаднинская ООШ,YES
626,МБОУ Шаласинская СОШ,
627,МКОУ Джурмачинская ООШ,YES
628,МКОУ Муркарахская НОШ,
629,МКОУ Сурсбукская НОШ,
630,  Дербентский район,
631,МБОУ Гимназия п. Белиджи,YES
632,МБОУ СОШ №1 п. Белиджи,
633,МБОУ СОШ №2 п. Белиджи,YES
634,МБОУ СОШ №3 п.Белиджи ,
635,МБОУ СОШ №4 п.Белиджи,YES
636,МБОУ Гимназия  Мамедкала,YES
637,МБОУ СОШ №2 п.  Мамедкала,YES
638,МБОУ СОШ № 3  п.  Мамедкала,YES
639,МБОУ СОШ с.Куллар,
640,МБОУ СОШ с.Нюгди,
641,МБОУ СОШ №1 с. Белиджи,
642,МБОУ СОШ №2 с.Белиджи,YES
643,МБОУ СОШ с.Аглоби,
644,МБОУ СОШ с.Музаим,
645,МБОУ СОШ с.Рубас,
646,МКОУ СОШ с.Араблинка,
