,СОШ,Наличие
404,МКОУ БУРХИМАХИНСКАЯ СОШ,YES
405,МКОУ БУРШАГСКАЯ СОШ,YES
406,МКОУ БУСКРИНСКАЯ СОШ,YES
407,МКОУ БУТ-КАЗМАЛЯРСКАЯ СОШ,YES
408,МКОУ БУХТЫНСКАЯ СОШ,YES
409,МКОУ ВАНАШИМАХИНСКАЯ СОШ,YES
410,МКОУ Ванашинская ООШ,YES
411,МКОУ ВАРСИТСКАЯ СОШ,YES
412,МКОУ ВАЧИНСКАЯ СОШ,YES
413,МКОУ В-ДЖЕНГУТАЕВСКАЯ СОШ,
414,МКОУ ВЕЛИКЕНТСКАЯ ООШ,
415,МКОУ ВЕЛИКЕНТСКАЯ СОШ,
416,МКОУ Верхнебатлухская СОШ,YES
417,МКОУ ВЕРХНЕИНХОВСКАЯ,YES
418,МКОУ Верхнеказанищенская СОШ 2,
419,МКОУ Верхнеколобская СОШ,YES
420,МКОУ ВЕРХНЕ-ЛАБКОМАХИНСКАЯ СОШ,YES
421,МКОУ ВЕРХНЕ-УБЕКИНСКАЯ ООШ,YES
422,МКОУ ВИХЛИНСКАЯ СОШ,YES
423,МКОУ В-КАЗАНИЩЕНСКАЯ СОШ №1,YES
424,МКОУ В-КАРАНАЙСКАЯ СОШ,YES
425,МКОУ Впередовская СОШ,YES
426,МКОУ Вышеталовская СОШ,YES
427,МКОУ ГАГАТЛИНСКАЯ СОШ.,YES
428,МКОУ ГАДАРИНСКАЯ СОШ,YES
429,МКОУ ГАДЖИ-КУТАНСКАЯ ООШ,YES
430,МКОУ ГАЗИЯНСКАЯ ООШ,YES
431,МКОУ ГАМИЯХСКАЯ СОШ №1,YES
432,МКОУ ГАМИЯХСКАЯ СОШ №2,YES
433,МКОУ ГАМИЯХСКАЯ СОШ,YES
434,МКОУ ГАПЦАХСКАЯ СОШ,YES
435,МКОУ ГАРАХСКАЯ ООШ,YES
436,МКОУ ГАСИКСКАЯ СОШ,YES
437,МКОУ ГВЕДЫШИНСКАЯ СОШ,YES
438,МКОУ ГДЫМСКАЯ ООШ,YES
439,МКОУ ГЕЛИНБАТАНСКАЯ СОШ,YES
440,МКОУ ГЕЛЬБАХСКАЯ СОШ,YES
441,МКОУ ГЕЛЬХЕНСКАЯ СОШ,YES
442,МКОУ ГЕМЕТЮБИНСКАЯ СОШ,YES
443,МКОУ ГЕНЕКОЛОБСКАЯ СОШ,YES
444,МКОУ ГЕНЖЕАУЛЬСКАЯ СОШ,YES
445,МКОУ Гентинская СОШ,YES
446,МКОУ Гергебельская СОШ 1,
447,МКОУ Гергебельская СОШ 2,
448,МКОУ ГЕРГИНСКАЯ СОШ,YES
449,МКОУ ГЕРЕЙХАНОВСКАЯ СОШ №1,YES
450,МКОУ ГЕРЕЙХАНОВСКАЯ СОШ №2,YES
451,МКОУ ГЕРМЕНЧИКСКАЯ СОШ,YES
452,МКОУ Гертминская СОШ им. Абулмуслимова,YES
453,МКОУ Гилибская СОШ,YES
454,МКОУ ГИЛЬЯРСКАЯ СОШ,YES
455,МКОУ Гимерсинская СОШ,YES
456,МКОУ Гимназия 5,YES
457,МКОУ ГИМНАЗИЯ № 1,YES
458,МКОУ ГИМНАЗИЯ № 2 ИМ. А.М.САЙТИЕВА,YES
459,МКОУ Гимназия №1,YES
460,МКОУ ГИМНАЗИЯ №3,YES
461,МКОУ Гимназия г.Буйнакска,YES
462,МКОУ ГИМНАЗИЯ ИМ. М.ГОРЬКОГО,YES
463,МКОУ ГИМНАЗИЯ КУЛЬТУРЫ МИРА,YES
464,МКОУ Гимназия_1,YES
465,МКОУ ГИНТИНСКАЯ СОШ,YES
466,МКОУ ГИСИКСКАЯ ООШ,YES
467,МКОУ ГКМ им. Нуцалова,
468,МКОУ ГОГАЗСКАЯ СОШ,YES
469,МКОУ Гоготлинская СОШ,YES
470,МКОУ ГОДОБЕРИНСКАЯ СОШ,YES
471,МКОУ ГОИНСКАЯ СОШ,YES
472,МКОУ ГОКСУВОТАРСКАЯ СОШ,YES
473,МКОУ ГОЛОТЛИНСКАЯ СОШ ,
474,МКОУ Голотлинская СОШ,YES
475,МКОУ ГОНОДИНСКАЯ СОШ,YES
476,МКОУ ГООРСКАЯ СОШ,YES
477,МКОУ ГООШ,
478,МКОУ Гоцатлинская СОШ,YES
479,МКОУ Гочобская СОШ,YES
480,МКОУ ГПСОШ,
481,МКОУ ГСОШ,
482,МКОУ ГУВЛИГСКАЯ СОШ,YES
483,МКОУ ГУЛАДТЫНСКАЯ СОШ,YES
484,МКОУ ГУЛДЫНСКАЯ ООШ,YES
485,МКОУ ГУЛЛИНСКАЯ СОШ,YES
486,МКОУ ГУМИНСКАЯ СОШ,YES
487,МКОУ ГУНАКАРИНСКАЯ ООШ,YES
488,МКОУ ГУРБУКИНСКАЯ СОШ №2,YES
489,МКОУ ГУРИКСКАЯ СОШ,YES
490,МКОУ ГУРХУНСКАЯ СОШ,YES
491,МКОУ ГЮХРАГСКАЯ СОШ,YES
492,МКОУ ДАГБАШСКАЯ ООШ,YES
493,МКОУ ДАГНИНСКАЯ ООШ,YES
494,МКОУ ДАНУХСКАЯ СОШ,YES
495,МКОУ ДАРВАГСКАЯ СОШ №1,YES
