МКОУ ХИЛИ-ПЕНДЖИКСКАЯ СОШ
МКОУ ХИНДАХСКАЯ ООШ
МКОУ ХМЛ
МКОУ ХООШ
МКОУ ХОРЕДЖСКАЯ СОШ
МКОУ Хотодинская СОШ
МКОУ ХПЕДЖСКАЯ СОШ
МКОУ ХПЮКСКАЯ СОШ
МКОУ ХСОШ
МКОУ Хубарская СОШ
МКОУ ХУЛИСМИНСКАЯ ООШ
МКОУ ХУНГИЯНСКАЯ ООШ
МКОУ ХУНИНСКАЯ ООШ
МКОУ ХУРИНСКАЯ ООШ
МКОУ ХУРИНСКАЯ
МКОУ ХУРХИНСКАЯ СОШ
МКОУ ХУРЯКСКАЯ ООШ
МКОУ ХУСТИЛЬСКАЯ СОШ
МКОУ Хуцеевская СОШ
МКОУ ХУЧАДИНСКАЯ ООШ
МКОУ ХЮРЕХЮРСКАЯ СОШ
МКОУ ЦАНАКСКАЯ СОШ
МКОУ ЦАНАТЛИНСКАЯ ООШ
МКОУ ЦАТАНИХСКАЯ СОШ
МКОУ Цветковая гимназия
МКОУ ЦЕЛЕГЮНСКАЯ СОШ
МКОУ ЦИЛИТЛИНСКАЯ СОШ
МКОУ ЦИНИТСКАЯ СОШ
МКОУ ЦНАЛЬСКАЯ СОШ
МКОУ ЦО ЮЛДАШ С. ХУЧНИ
МКОУ ЦУЛИКАНИНСКАЯ ООШ
МКОУ ЦУРАИНСКАЯ ООШ
МКОУ ЦУХТАМАХИНСКАЯ СОШ
МКОУ ЦУХТЫГСКАЯ СОШ
МКОУ ЦУЩАРСКАЯ ООШ
МКОУ ЦЫЙШИНСКАЯ СОШ
МКОУ ЧАГАРОТАРСКАЯ СОШ
МКОУ ЧАДАКОЛОБСКАЯ СОШ
МКОУ ЧАНКОВСКАЯ СОШ
МКОУ ЧЕРВЛЕННО-БУРУНСКАЯ СОШ
МКОУ ЧЕРЕНСКАЯ ООШ
МКОУ Черняевская СОШ
МКОУ ЧИРКЕЙСКИЙ ЛИЦЕЙ
МКОУ ЧИТЛИНСКАЯ ООШ
МКОУ ЧОРОДИНСКАЯ ООШ
МКОУ ЧОХ-КОММУНСКАЯ СОШ
МКОУ ЧОХСКАЯ СОШ
МКОУ ЧУВЕКСКАЯ СОШ ИМ.СЕФЕРБЕКОВА
